cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
1,24,9,9.6250,0.9567,0.8750,1.5833,2387,1.770105,1.051348,0.719066
2,24,7,9.6667,0.9388,1.6250,1.0833,4617,1.768518,1.038207,0.730618
3,24,11,9.5417,0.9398,1.5417,1.5000,6795,1.779184,1.055152,0.724346
4,24,10,9.7917,0.9270,1.2917,1.2083,8993,1.768892,1.046243,0.722960
6,24,11,8.7500,0.9174,1.2083,1.5000,13751,1.733049,1.011401,0.721949
7,24,14,9.0000,0.9645,1.3750,1.2917,15924,1.785024,1.075289,0.710056
8,24,8,9.7500,1.0234,1.3333,0.9583,18276,1.769498,1.051614,0.718199
9,24,11,9.2083,1.5166,1.5833,1.4167,20627,1.718482,1.013540,0.705245
10,24,8,9.1667,1.0233,1.2083,1.2500,22938,1.747211,1.039190,0.708332
11,24,6,9.8750,0.9980,1.3333,1.1250,25313,1.740118,1.032375,0.708051
12,24,8,10.1667,1.0780,1.5000,1.2083,27605,1.772151,1.060258,0.712210
13,24,6,9.3750,1.0799,1.2500,1.2917,30028,1.755692,1.049208,0.706798
14,24,7,10.0000,0.9532,1.2083,1.3750,32340,1.737048,1.032855,0.704502
15,24,9,9.9583,1.7513,1.2083,1.3750,34649,1.749643,1.041447,0.708508
16,24,5,9.4167,1.0314,0.9167,1.2500,37142,1.754985,1.047416,0.707881
17,24,6,10.3750,1.0988,1.5000,1.1250,39548,1.739289,1.030171,0.709426
18,24,13,9.0833,1.4164,1.3750,1.4167,41880,1.762563,1.047264,0.715612
19,24,17,8.4167,1.0018,1.7917,1.4583,44205,1.742724,1.030175,0.712857
20,24,8,9.8333,0.9584,1.5417,1.4167,46527,1.746246,1.035678,0.710878
21,24,11,9.4583,1.3767,1.6667,1.2083,48780,1.766298,1.054729,0.711884
22,24,10,9.2500,0.9331,1.7083,1.2083,51121,1.746130,1.034077,0.712362
23,24,11,9.7500,1.8004,1.8333,1.3750,53491,1.765277,1.051488,0.714103
24,24,10,9.7917,0.9941,1.1667,1.7083,55787,1.765707,1.049963,0.716058
25,24,8,8.9167,0.9329,1.6250,1.0417,58375,1.777414,1.054990,0.722740
26,24,9,9.5000,0.9122,1.3750,1.3750,60816,1.771980,1.049139,0.723155
