cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
1,32,12,9.8438,1.3010,1.2500,1.4688,3203,0.000000,0.000000,0.000000
2,32,18,8.4688,1.2173,1.2500,1.8125,6406,1.881964,1.140776,0.741525
3,32,13,9.6250,1.2879,1.4375,1.4062,9527,1.862335,1.159299,0.703381
4,32,11,9.7500,1.3257,1.0000,1.3125,12870,1.840088,1.150639,0.689792
5,32,10,10.0625,1.3745,1.3438,1.3438,16157,1.850484,1.153614,0.697215
6,32,18,8.8438,1.2482,1.5000,1.5938,19337,1.837145,1.154703,0.682787
7,32,15,9.4688,1.2740,1.5938,1.2500,22505,1.837250,1.160738,0.676859
8,32,10,9.5000,1.3922,1.3438,0.9688,25896,1.829893,1.154366,0.675872
9,32,15,9.6250,1.4114,1.4375,1.2812,29205,1.821686,1.150104,0.671926
10,32,13,9.9688,1.3818,1.4062,1.7188,32488,1.817958,1.146714,0.671587
11,32,8,9.9375,1.3587,1.1250,1.2812,35782,1.805032,1.141755,0.663619
12,32,19,9.3750,1.8737,1.7812,1.4375,38947,1.816981,1.155573,0.661754
13,32,13,9.7812,1.4302,1.4062,1.2812,42351,1.815180,1.151810,0.663714
14,32,11,9.5938,1.3839,1.2188,1.1875,45639,1.808584,1.152396,0.656534
15,32,12,9.7188,2.1869,1.2812,1.3438,48966,1.795936,1.143229,0.653049
16,32,7,9.8750,1.6553,1.3438,1.1562,52241,1.789578,1.137333,0.652586
17,32,7,10.4688,1.9568,1.5312,1.1562,55608,1.797092,1.141674,0.655761
18,32,13,9.0312,1.3542,1.3125,1.2188,58883,1.800172,1.147011,0.653504
19,32,12,9.9062,1.5780,1.4688,1.3438,62135,1.791709,1.143026,0.649025
20,32,19,9.4062,1.6819,1.3438,1.6875,65362,1.794083,1.138709,0.655715
21,32,13,9.1250,1.3389,1.0000,1.7188,68740,1.787280,1.137485,0.650136
22,32,14,9.4375,1.4094,1.9062,1.1562,72062,1.792384,1.137565,0.655160
23,32,14,9.6250,1.4404,1.2500,1.5625,75229,1.830528,1.174976,0.655904
24,32,15,9.8750,1.4718,1.3750,1.4062,78571,1.800565,1.149498,0.651411
