cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
1,48,23,9.6667,4.0965,1.4792,1.3958,4711,1.974344,1.237367,0.737342
2,48,20,9.4583,4.2588,1.3333,1.4375,9667,1.892276,1.185339,0.707289
3,48,17,9.9792,4.3594,1.2917,1.5000,14487,1.895676,1.190718,0.705313
4,48,17,9.8958,4.0499,1.3333,1.2917,19463,1.889158,1.183282,0.706229
5,48,15,10.3542,6.3861,1.3125,1.3958,24510,1.891182,1.188939,0.702598
6,48,18,9.9167,5.9753,1.5000,1.4792,29451,1.897681,1.197069,0.700970
7,48,17,9.8333,5.6497,1.3542,1.2083,34343,1.869123,1.170240,0.699233
8,48,10,10.0625,5.7536,1.3333,1.2708,39449,1.865339,1.165933,0.699753
9,48,17,9.9375,5.7960,1.1250,1.6042,44372,1.890782,1.188433,0.702705
10,48,19,10.1250,5.7435,1.2292,1.5417,49200,1.874690,1.168424,0.706616
11,48,16,9.9375,5.7358,1.5000,1.2917,54102,1.867534,1.165556,0.702327
12,48,10,10.5000,6.5587,1.1458,1.2917,59100,1.880234,1.176755,0.703831
13,48,9,10.4375,5.7948,1.2083,1.3750,64223,1.875978,1.175860,0.700470
14,48,15,9.9792,5.9647,1.3750,1.3750,69195,1.870989,1.171365,0.699974
15,48,13,10.1458,5.8744,1.4583,1.2083,74119,1.867680,1.165424,0.702605
16,48,16,9.9583,6.6047,1.2708,1.2083,79059,1.863914,1.158439,0.705822
17,48,15,10.2917,6.0613,1.4583,1.3333,84049,1.871340,1.166468,0.705221
18,48,17,9.8333,5.9147,1.3333,1.3958,89128,1.865613,1.164163,0.701799
19,48,14,9.9375,5.1178,1.1042,1.4583,94104,1.861627,1.158320,0.703653
20,48,14,10.4375,5.1837,1.5208,1.1875,99156,1.869587,1.167556,0.702380
21,48,15,9.5625,5.0271,1.3958,1.4583,104308,1.869327,1.170250,0.699428
22,48,17,9.7292,4.8886,1.4375,1.3542,109253,1.865283,1.161894,0.703736
23,48,15,10.1667,4.9483,1.3542,1.4792,114099,1.865965,1.165891,0.700423
24,48,19,9.8958,4.8156,1.4583,1.3542,118931,1.852696,1.149758,0.703282
25,48,15,9.8542,5.1766,1.3750,1.4583,120000,1.865930,1.162583,0.703695
26,48,15,10.1250,5.2192,1.4167,1.4583,120000,1.865250,1.162162,0.703436
27,48,22,10.1250,5.0013,1.6458,1.5208,120000,1.870311,1.166222,0.704438
28,48,19,10.0000,4.9290,1.5625,1.5000,120000,1.865588,1.157263,0.708672
29,48,15,10.1458,5.2968,1.5833,1.3958,120000,1.876754,1.167675,0.709428
30,48,16,10.0000,5.0413,1.6042,1.3958,120000,1.870268,1.160756,0.709861
31,48,13,10.1458,5.0126,1.4583,1.2708,120000,1.875056,1.166094,0.709311
32,48,15,9.7500,5.0215,1.4167,1.4167,120000,1.864773,1.156499,0.708620
33,48,15,9.9375,5.1996,1.4375,1.4375,120000,1.867728,1.159331,0.708744
34,48,17,9.7500,5.1518,1.4583,1.3542,120000,1.871565,1.161908,0.710006
35,48,19,9.4375,4.9144,1.2708,1.3958,120000,1.873509,1.164351,0.709506
36,48,15,10.3333,5.3621,1.4375,1.0833,120000,1.867189,1.157699,0.709837
37,48,24,9.8750,5.0919,1.6042,1.4167,120000,1.873437,1.163438,0.710347
38,48,16,9.8542,4.8429,1.4167,1.4167,120000,1.856777,1.146811,0.710308
39,48,24,9.2917,4.8040,1.6250,1.2292,120000,1.852163,1.144992,0.707515
40,48,14,10.0625,4.9402,1.2708,1.3333,120000,1.865375,1.158089,0.707633
41,48,16,10.1458,4.7644,1.5000,1.3542,120000,1.870950,1.163244,0.708055
42,48,16,9.8958,5.0584,1.2500,1.2917,120000,1.868817,1.162614,0.706551
43,48,12,10.1458,5.0265,1.3333,1.1875,120000,1.863642,1.156475,0.707513
44,48,21,9.6875,4.7974,1.3542,1.6667,120000,1.866687,1.163244,0.703791
45,48,13,10.4167,5.0372,1.4583,1.2500,120000,1.871886,1.167494,0.704742
46,48,14,10.3333,5.3373,1.4792,1.4167,120000,1.864864,1.158804,0.706407
47,48,14,10.3542,5.0968,1.5000,1.4375,120000,1.858145,1.153294,0.705197
48,48,21,9.9583,4.7699,1.3125,1.4792,120000,1.876277,1.169475,0.707152
49,48,17,10.2708,5.0545,1.5625,1.3750,120000,1.863838,1.161501,0.702685
50,48,14,10.1250,5.0324,1.3958,1.3542,120000,1.879136,1.173395,0.706091
51,48,16,9.5833,4.8784,1.3125,1.2083,120000,1.872295,1.168918,0.703728
52,48,12,10.3958,4.9814,1.3125,1.5833,120000,1.857910,1.153223,0.705032
53,48,18,9.8958,4.8843,1.4167,1.6458,120000,1.865630,1.162706,0.703272
54,48,23,9.3333,4.7231,1.5625,1.1875,120000,1.864805,1.162007,0.703146
55,48,16,9.8333,4.9130,1.5833,1.3333,120000,1.859755,1.158072,0.702030
56,48,21,9.4167,4.9072,1.4167,1.5208,120000,1.856529,1.157262,0.699614
57,48,16,10.1458,4.9190,1.4792,1.3542,120000,1.860667,1.161644,0.699371
58,48,20,9.7083,4.7981,1.3958,1.3542,120000,1.865242,1.165514,0.700077
59,48,16,9.9375,4.8285,1.2083,1.6042,120000,1.861758,1.158272,0.703833
60,48,16,10.1042,5.2683,1.2500,1.5000,120000,1.878766,1.173279,0.705839
61,48,20,10.1667,4.9772,1.6458,1.0833,120000,1.873155,1.169305,0.704200
62,48,20,9.8125,4.9081,1.4375,1.3750,120000,1.873840,1.169577,0.704613
63,48,13,9.9792,4.9059,1.3125,1.5000,120000,1.884655,1.183738,0.701273
64,48,14,10.3750,5.1834,1.3958,1.4583,120000,1.881583,1.176730,0.705206
65,48,13,10.0417,4.9151,1.4583,1.2708,120000,1.882920,1.182385,0.700890
66,48,20,10.2917,4.9263,1.7500,1.4167,120000,1.880226,1.179150,0.701430
67,48,16,10.2500,4.9601,1.7292,1.1875,120000,1.873684,1.172726,0.701310
68,48,12,10.4375,5.0675,1.6042,1.2083,120000,1.871694,1.172161,0.699885
69,48,13,10.2500,5.2789,1.2500,1.4375,120000,1.860704,1.163983,0.697070
70,48,18,10.2292,5.1162,1.5208,1.3333,120000,1.874879,1.177064,0.698167
71,48,13,9.9583,4.9289,1.3542,1.1875,120000,1.883090,1.182307,0.701137
72,48,18,10.0833,5.1576,1.5000,1.3750,120000,1.888681,1.188649,0.700388
73,48,21,10.1042,4.9725,1.4792,1.5833,120000,1.884844,1.184305,0.700893
74,48,17,9.9167,5.0749,1.5833,1.4375,120000,1.880334,1.181753,0.698935
75,48,20,9.7708,4.8985,1.7917,1.2292,120000,1.875590,1.175912,0.700029
76,48,23,9.9375,5.0702,1.5833,1.5000,120000,1.874509,1.173169,0.701691
77,48,23,9.7917,4.8703,1.6042,1.2708,120000,1.875003,1.176458,0.698897
78,48,17,10.3125,5.2410,1.7500,1.1250,120000,1.886903,1.186798,0.700461
79,48,17,9.9167,4.8297,1.2500,1.7083,120000,1.881991,1.181835,0.700510
80,48,15,10.0833,4.8497,1.3750,1.2500,120000,1.891370,1.188720,0.703007
81,48,12,10.3542,5.1964,1.3958,1.4375,120000,1.894120,1.193456,0.701021
82,48,16,10.0625,5.0214,1.3750,1.2500,120000,1.878404,1.179988,0.698770
83,48,17,10.0625,5.1649,1.1875,1.5833,120000,1.888636,1.187594,0.701398
84,48,20,9.9792,5.1260,1.3750,1.6250,120000,1.891595,1.192495,0.699458
85,48,14,10.3125,5.0154,1.6875,1.3542,120000,1.869851,1.169496,0.700705
86,48,19,10.1250,5.0917,1.5208,1.5625,120000,1.895618,1.193533,0.702442
87,48,15,10.1875,5.0348,1.4583,1.2083,120000,1.905178,1.203438,0.702100
88,48,19,9.9167,4.9541,1.6875,1.4167,120000,1.885611,1.185688,0.700278
89,48,15,9.7500,4.7922,1.3958,1.3750,120000,1.892858,1.190101,0.703114
90,48,17,9.9375,5.0282,1.2292,1.4583,120000,1.888107,1.187838,0.700625
91,48,22,9.3542,4.7900,1.5208,1.4375,120000,1.884927,1.182326,0.702956
92,48,19,10.0625,4.9513,1.5417,1.4792,120000,1.885155,1.184776,0.700733
93,48,15,10.3958,5.1191,1.3125,1.2500,120000,1.889200,1.188151,0.701405
94,48,24,9.6458,4.8290,1.5833,1.3750,120000,1.886303,1.188381,0.698278
95,48,14,10.1458,5.0568,1.4375,1.0417,120000,1.880938,1.185202,0.696090
96,48,17,10.1250,4.8244,1.5625,1.2292,120000,1.881880,1.185402,0.696834
97,48,20,9.6667,4.8988,1.2500,1.5625,120000,1.872390,1.173844,0.698897
98,48,23,9.7708,4.7093,1.6458,1.3333,120000,1.881803,1.186323,0.695836
99,48,16,10.0833,4.7243,1.2708,1.6875,120000,1.866583,1.176261,0.690674
100,48,17,10.3542,5.3274,1.3750,1.3958,120000,1.880129,1.184331,0.696153
101,48,18,10.0417,4.8903,1.4792,1.7083,120000,1.879004,1.186082,0.693277
102,48,14,10.3958,5.1064,1.4792,1.3958,120000,1.876788,1.183315,0.693828
103,48,16,10.1250,5.0950,1.2708,1.3958,120000,1.892423,1.196443,0.696338
104,48,15,10.2292,5.4015,1.3333,1.6458,120000,1.857587,1.161766,0.696169
105,48,19,9.9375,5.1042,1.6667,1.2917,120000,1.875663,1.183186,0.692832
106,48,20,10.1250,5.0995,1.4792,1.5000,120000,1.875288,1.178118,0.697522
107,48,21,9.4167,4.7621,1.7500,1.4583,120000,1.867262,1.174817,0.692797
108,48,18,9.9583,5.0345,1.5208,1.3542,120000,1.868362,1.178339,0.690376
109,48,17,9.7708,4.8590,1.5625,1.3958,120000,1.871119,1.180554,0.690919
110,48,20,9.7292,5.1009,1.4792,1.4167,120000,1.873288,1.179662,0.693980
111,48,12,10.1667,5.1320,1.6250,1.5208,120000,1.854075,1.160763,0.693660
112,48,22,9.8542,4.8305,1.4167,1.6667,120000,1.855778,1.166981,0.689147
113,48,13,10.5417,5.1313,1.1250,1.5833,120000,1.860674,1.176246,0.684780
114,48,11,10.0625,4.9432,1.3958,1.3333,120000,1.865391,1.175894,0.689849
115,48,17,9.9583,5.0483,1.5417,1.3125,120000,1.871933,1.180574,0.691712
116,48,17,10.0417,4.9581,1.3542,1.5625,120000,1.866694,1.175416,0.691631
117,48,10,10.0833,4.8016,1.3958,1.1875,120000,1.866204,1.175569,0.690987
118,48,22,9.6250,5.0568,1.5000,1.2708,120000,1.869821,1.181620,0.688555
119,48,14,10.2708,5.0179,1.4167,1.2708,120000,1.857786,1.166224,0.691912
120,48,19,9.9375,5.3989,1.3125,1.5000,120000,1.868271,1.178820,0.689805
121,48,17,9.9792,4.9495,1.3125,1.5000,120000,1.854841,1.162508,0.692682
122,48,17,10.1667,5.1828,1.3750,1.1458,120000,1.867472,1.175478,0.692346
123,48,20,9.8333,5.0481,1.4583,1.4167,120000,1.865292,1.174940,0.690705
124,48,17,10.1458,5.3679,1.1667,1.4792,120000,1.871717,1.182387,0.689685
125,48,16,9.9583,4.7598,1.5000,1.3542,120000,1.868260,1.177017,0.691596
126,48,24,9.3542,4.8473,1.5208,1.3333,120000,1.864520,1.173921,0.690952
127,48,14,10.1458,5.0846,1.6458,1.3542,120000,1.862997,1.168958,0.694390
128,48,9,10.5833,5.1793,1.0417,1.1667,120000,1.864533,1.174069,0.690816
129,48,16,10.0208,4.9628,1.4375,1.3333,120000,1.866743,1.177536,0.689561
130,48,16,10.3958,5.0429,1.5625,1.4792,120000,1.866586,1.175736,0.691202
131,48,15,10.2500,5.0627,1.3542,1.2917,120000,1.866000,1.176464,0.689889
132,48,16,10.1042,5.1886,1.3958,1.2917,120000,1.877248,1.188286,0.689318
133,48,29,9.2708,4.6987,1.7500,1.6250,120000,1.859995,1.170393,0.689953
134,48,14,10.2917,5.0805,1.3958,1.3125,120000,1.877876,1.189107,0.689125
135,48,24,9.6042,4.8742,1.3958,1.3958,120000,1.865734,1.174917,0.691169
136,48,20,9.9792,4.8155,1.5833,1.5417,120000,1.879631,1.188382,0.691606
137,48,11,10.4167,5.1306,1.3333,1.3750,120000,1.861571,1.167835,0.694085
138,48,13,10.1458,5.0933,1.5000,1.4375,120000,1.872567,1.182426,0.690494
139,48,18,9.7500,4.9600,1.4167,1.4375,120000,1.879599,1.186681,0.693273
140,48,20,9.9375,4.8739,1.5000,1.3333,120000,1.862909,1.168920,0.694339
141,48,18,9.9167,5.2332,1.6250,1.3333,120000,1.873147,1.182363,0.691139
142,48,18,9.8542,4.8752,1.4583,1.2292,120000,1.869042,1.179501,0.689894
143,48,15,9.9375,4.7886,1.2500,1.3333,120000,1.872458,1.180871,0.691941
144,48,22,9.8542,4.9431,1.2708,1.8125,120000,1.864896,1.175054,0.690195
145,48,18,10.2708,5.0410,1.3750,1.5833,120000,1.860653,1.170593,0.690411
146,48,18,10.0417,5.1362,1.5625,1.2708,120000,1.865876,1.174385,0.691843
147,48,16,10.2917,5.1006,1.1250,1.7708,120000,1.868507,1.178288,0.690572
148,48,16,10.2708,4.9773,1.3333,1.4375,120000,1.852430,1.163937,0.688842
149,48,16,10.1250,5.0904,1.2083,1.5208,120000,1.858189,1.173077,0.685462
150,48,16,10.0208,4.8591,1.5417,1.2500,120000,1.861052,1.170253,0.691150
151,48,20,9.9375,4.8463,1.3542,1.4583,120000,1.850766,1.159711,0.691402
152,48,25,9.1250,4.6636,1.5000,1.4167,120000,1.873309,1.183096,0.690567
153,48,20,10.1042,5.1326,1.6875,1.2292,120000,1.872718,1.187113,0.685961
154,48,10,10.2917,5.1312,1.4167,1.0208,120000,1.849711,1.162436,0.687623
155,48,16,10.1458,5.0544,1.6042,1.2292,120000,1.865768,1.176273,0.689847
156,48,18,9.7917,4.9909,1.3542,1.2917,120000,1.866411,1.180011,0.686754
157,48,18,9.9583,5.0494,1.2708,1.4375,120000,1.870317,1.184741,0.685931
158,48,16,10.2708,4.9888,1.4167,1.2708,120000,1.858541,1.174773,0.684121
159,48,19,10.0000,4.8065,1.6250,1.2917,120000,1.868727,1.184116,0.684965
160,48,17,9.5208,4.8274,1.4375,1.4583,120000,1.851048,1.165467,0.685930
161,48,20,9.9375,5.0664,1.4375,1.5625,120000,1.859814,1.173323,0.686843
162,48,14,10.3125,5.0123,1.3125,1.2917,120000,1.852925,1.169350,0.683925
163,48,14,9.9792,4.8848,1.3750,1.3542,120000,1.860530,1.178549,0.682335
164,48,20,10.0417,4.9817,1.3333,1.4792,120000,1.873975,1.186054,0.688277
165,48,20,10.0625,5.0800,1.6042,1.5000,120000,1.859803,1.174668,0.685487
166,48,13,10.4375,5.0453,1.5000,1.3333,120000,1.859649,1.175733,0.684269
167,48,14,10.2292,5.0712,1.3333,1.5417,120000,1.865389,1.181809,0.683935
168,48,14,10.2917,5.0316,1.3958,1.4583,120000,1.869774,1.183147,0.686982
169,48,15,10.0208,5.0139,1.4792,1.1458,120000,1.865381,1.180224,0.685511
170,48,20,9.6875,4.7155,1.4167,1.4167,120000,1.856860,1.170770,0.686441
171,48,12,10.2500,5.0341,1.2708,1.4375,120000,1.855364,1.166687,0.689026
172,48,16,10.0417,4.9802,1.5208,1.5208,120000,1.875401,1.188318,0.687439
173,48,16,10.0417,4.9991,1.6250,1.2292,120000,1.866373,1.180139,0.686587
174,48,16,10.1250,5.0723,1.2292,1.4583,120000,1.871766,1.178893,0.693226
175,48,12,10.3125,5.2339,1.3125,1.3750,120000,1.859303,1.171977,0.687678
176,48,18,9.9792,4.9552,1.4792,1.4583,120000,1.872367,1.182944,0.689778
177,48,21,9.9583,5.2237,1.3958,1.5833,120000,1.869719,1.178663,0.691409
178,48,17,9.8750,5.0453,1.4375,1.4375,120000,1.860870,1.173943,0.687278
179,48,15,9.9375,4.9015,1.4583,1.2500,120000,1.871620,1.181423,0.690551
180,48,12,10.2083,5.1081,1.3750,1.5417,120000,1.872491,1.182481,0.690365
181,48,17,10.2500,5.1158,1.5625,1.2292,120000,1.865117,1.172286,0.693183
182,48,14,9.8125,5.0228,1.5208,1.3333,120000,1.866997,1.174773,0.692576
183,48,16,10.1875,4.8673,1.2917,1.3125,120000,1.864824,1.173185,0.691990
184,48,16,10.0000,5.0045,1.4167,1.2917,120000,1.864595,1.176350,0.688597
185,48,19,10.1458,4.8215,1.4583,1.5833,120000,1.858564,1.167270,0.691645
186,48,15,9.8125,5.0352,1.5833,1.3125,120000,1.866990,1.176416,0.690927
187,48,19,9.9375,5.0417,1.4167,1.3333,120000,1.872947,1.183385,0.689916
188,48,17,9.7083,4.8742,1.5833,1.2917,120000,1.854600,1.166577,0.688373
189,48,17,9.9375,5.0977,1.6042,1.3542,120000,1.863625,1.175182,0.688795
190,48,13,10.4792,5.1283,1.2500,1.5625,120000,1.853134,1.161786,0.691696
191,48,15,10.2500,5.3380,1.3958,1.3958,120000,1.854760,1.166559,0.688551
192,48,14,10.1667,5.0398,1.3125,1.2292,120000,1.870569,1.182568,0.688356
193,48,13,10.0417,5.0202,1.1250,1.4167,120000,1.859227,1.173373,0.686206
194,48,16,9.6042,4.9290,1.2500,1.4167,120000,1.863261,1.177901,0.685713
195,48,22,9.8125,5.0475,1.5833,1.1667,120000,1.867687,1.183020,0.685023
196,48,14,10.2292,5.1269,1.3542,1.4375,120000,1.854105,1.167813,0.686642
197,48,16,9.5000,4.8803,1.2917,1.3958,120000,1.848194,1.165480,0.683064
198,48,13,10.1042,4.9771,1.3542,1.4167,120000,1.859250,1.170163,0.689438
199,48,17,10.1458,4.9683,1.2083,1.5833,120000,1.837290,1.153180,0.684455
200,48,17,9.5833,4.5866,1.5833,1.2292,120000,1.846395,1.164406,0.682338
201,48,13,10.2292,5.3947,1.3125,1.4167,120000,1.858360,1.170095,0.688615
202,48,16,9.8542,5.0216,1.2917,1.2917,120000,1.841805,1.153334,0.688817
203,48,13,10.4375,5.0407,1.1875,1.4583,120000,1.846187,1.163767,0.682769
204,48,16,10.1250,5.0763,1.3542,1.4167,120000,1.850420,1.165155,0.685614
205,48,16,10.3958,4.9813,1.4792,1.4375,120000,1.845181,1.158404,0.687124
206,48,19,10.0208,4.7548,1.7292,1.4167,120000,1.853391,1.166328,0.687413
207,48,12,9.6875,5.0682,1.2500,1.3333,120000,1.838806,1.151843,0.687308
208,48,22,9.5208,4.7912,1.4583,1.6042,120000,1.849767,1.163967,0.686149
209,48,19,9.9375,4.9412,1.5833,1.4792,120000,1.845260,1.155936,0.689670
210,48,15,10.1667,5.0916,1.2292,1.4792,120000,1.845109,1.158650,0.686806
211,48,14,10.2083,4.8782,1.6667,1.3958,120000,1.848805,1.156043,0.693108
212,48,22,9.8750,4.8367,1.6875,1.4167,120000,1.855313,1.166542,0.689121
213,48,22,9.6667,4.8388,1.5208,1.3125,120000,1.856570,1.163854,0.693066
214,48,14,10.1042,4.9236,1.4792,1.2917,120000,1.850336,1.159285,0.691398
215,48,19,9.8125,5.0893,1.6250,1.2708,120000,1.850784,1.159863,0.691270
216,48,19,10.1250,5.0135,1.6458,1.1042,120000,1.845679,1.158653,0.687374
217,48,8,10.4167,5.0747,1.3958,1.2292,120000,1.844172,1.159888,0.684631
218,48,18,9.8542,4.7705,1.4583,1.4375,120000,1.849744,1.160060,0.690032
219,48,19,9.7500,4.9416,1.4583,1.3750,120000,1.825906,1.141413,0.684835
220,48,12,10.2083,5.2489,1.4375,1.4167,120000,1.851708,1.165493,0.686564
221,48,14,10.1458,4.7002,1.2917,1.5000,120000,1.863725,1.176455,0.687623
222,48,21,9.8750,4.9934,1.4375,1.4375,120000,1.854445,1.164334,0.690459
223,48,13,10.2708,5.1270,1.5000,1.2292,120000,1.835098,1.152167,0.683277
224,48,21,9.6667,5.1338,1.4583,1.4375,120000,1.852031,1.162252,0.690128
225,48,11,10.4375,4.9673,1.2083,1.2917,120000,1.850456,1.160553,0.690250
226,48,18,9.8750,4.7790,1.5000,1.3750,120000,1.863764,1.177475,0.686642
227,48,18,10.0417,5.0605,1.5833,1.3750,120000,1.858910,1.173792,0.685471
228,48,16,10.1667,5.2110,1.6250,1.1458,120000,1.844528,1.161318,0.683559
229,48,12,10.3542,5.0911,1.1458,1.2083,120000,1.849602,1.164486,0.685465
230,48,13,10.2292,4.9864,1.3958,1.3333,120000,1.860399,1.174312,0.686438
231,48,21,9.6667,5.0394,1.5625,1.3333,120000,1.844038,1.159579,0.684806
232,48,16,10.2083,5.1760,1.4583,1.3750,120000,1.856076,1.168827,0.687600
233,48,13,10.0625,5.1021,1.5417,1.2083,120000,1.849376,1.162945,0.686779
234,48,21,9.8958,4.7858,1.6250,1.5208,120000,1.854369,1.167870,0.686850
235,48,17,9.6042,4.8386,1.2083,1.4792,120000,1.865815,1.182980,0.683190
236,48,15,10.1042,5.2071,1.3958,1.2500,120000,1.844523,1.160103,0.684768
