cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,8,1,10.8750,10.0000,1.1792,1.8750,1.6250,0.8750,0.0903,853,1.924838,1.221743,0.703453
2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.917281,1.220529,0.697114
3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.899599,1.226577,0.673386
4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.857330,1.211632,0.646061
5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.775846,1.159891,0.616305
6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.753971,1.151079,0.603240
7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.720532,1.113713,0.607155
8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.691927,1.092654,0.599605
9,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.725589,1.114910,0.611017
10,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.679455,1.076705,0.603076
11,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.659618,1.055115,0.604822
12,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,853,1.661248,1.056860,0.604708
